Date,Value
28/09/1993,1896.900024
29/09/1993,1906.800049
30/09/1993,1919.800049
1/10/1993,1928.800049
4/10/1993,1932.5
5/10/1993,1955.599976
6/10/1993,1975.199951
7/10/1993,1976.5
8/10/1993,1981.400024
11/10/1993,1994.099976
12/10/1993,1982
13/10/1993,1993
14/10/1993,2017.300049
15/10/1993,2029.900024
18/10/1993,2041.300049
19/10/1993,2030.800049
20/10/1993,2006.199951
21/10/1993,2014.099976
22/10/1993,2015.400024
25/10/1993,2001.300049
26/10/1993,2011.699951
27/10/1993,2025.599976
28/10/1993,2033.900024
29/10/1993,2070.600098
1/11/1993,2091.699951
2/11/1993,2084.100098
3/11/1993,2065.699951
4/11/1993,2058.800049
5/11/1993,2037.099976
8/11/1993,2009.699951
9/11/1993,2005.5
10/11/1993,1997.5
11/11/1993,2007.400024
12/11/1993,2029.5
15/11/1993,2022.199951
16/11/1993,2023
17/11/1993,2044.300049
18/11/1993,2048.600098
19/11/1993,2022.900024
22/11/1993,1988.900024
23/11/1993,1950.199951
24/11/1993,1972.599976
25/11/1993,1982.599976
26/11/1993,1986.099976
29/11/1993,1952.800049
30/11/1993,1953.699951
1/12/1993,1949
2/12/1993,1993.5
3/12/1993,1991.900024
6/12/1993,1998.900024
7/12/1993,2019.099976
8/12/1993,2044.599976
9/12/1993,2041.300049
10/12/1993,2030.900024
13/12/1993,2039.599976
14/12/1993,2028.900024
15/12/1993,2011.300049
16/12/1993,2016.900024
17/12/1993,2023.699951
20/12/1993,2018.699951
21/12/1993,2007.5
22/12/1993,1992.099976
23/12/1993,2009.199951
24/12/1993,2031.400024
27/12/1993,2031.400024
28/12/1993,2069.800049
29/12/1993,2069.800049
30/12/1993,2095.800049
31/12/1993,2113.600098
3/01/1994,2113.600098
4/01/1994,2115.399902
5/01/1994,2132
6/01/1994,2138.699951
7/01/1994,2124
10/01/1994,2135.800049
11/01/1994,2143.199951
12/01/1994,2131.100098
13/01/1994,2112.800049
14/01/1994,2141.800049
17/01/1994,2175.300049
18/01/1994,2167.5
19/01/1994,2183.399902
20/01/1994,2199.600098
21/01/1994,2182.699951
24/01/1994,2156.699951
25/01/1994,2154.100098
26/01/1994,2154.100098
27/01/1994,2181.399902
28/01/1994,2191.699951
31/01/1994,2244.399902
1/02/1994,2244.199951
2/02/1994,2245.199951
3/02/1994,2275.600098
4/02/1994,2266.300049
7/02/1994,2215.199951
8/02/1994,2239
9/02/1994,2203
10/02/1994,2166.100098
11/02/1994,2173.199951
14/02/1994,2170.899902
15/02/1994,2165.699951
16/02/1994,2179.100098
17/02/1994,2170.100098
18/02/1994,2152.600098
21/02/1994,2108.699951
22/02/1994,2134.100098
23/02/1994,2150.300049
24/02/1994,2127.699951
25/02/1994,2079
28/02/1994,2112
1/03/1994,2112
2/03/1994,2084.199951
3/03/1994,2082.399902
4/03/1994,2048.100098
7/03/1994,2077
8/03/1994,2103.600098
9/03/1994,2081.300049
10/03/1994,2088.100098
11/03/1994,2084
14/03/1994,2110.800049
15/03/1994,2102.699951
16/03/1994,2104.300049
17/03/1994,2095.5
18/03/1994,2093.699951
21/03/1994,2069.300049
22/03/1994,2070.300049
23/03/1994,2110.5
24/03/1994,2098.899902
25/03/1994,2078.5
28/03/1994,2035.699951
29/03/1994,2027.800049
30/03/1994,2021.5
31/03/1994,1980.099976
1/04/1994,1980.099976
